Date,Open,High,Low,Close,Adj Close,Volume
14/07/21,670.75,678.61,652.84,653.38,653.38,21641200
15/07/21,658.39,666.14,637.88,650.60,650.60,20209600
16/07/21,654.68,656.70,642.20,644.22,644.22,16371000
19/07/21,629.89,647.20,621.29,646.22,646.22,21297100
20/07/21,651.99,662.39,640.50,660.50,660.50,15487100
21/07/21,659.61,664.86,650.29,655.29,655.29,13953300
22/07/21,656.44,662.17,644.60,649.26,649.26,15105700
23/07/21,646.36,648.80,637.30,643.38,643.38,14604900
26/07/21,650.97,668.20,647.11,657.62,657.62,25336600
27/07/21,663.40,666.50,627.24,644.78,644.78,32813300
28/07/21,647.00,654.97,639.40,646.98,646.98,16006600
29/07/21,649.79,683.69,648.80,677.35,677.35,30394600
30/07/21,671.76,697.53,669.00,687.20,687.20,29656400
02/08/21,700.00,726.94,698.40,709.67,709.67,33615800
03/08/21,719.00,722.65,701.01,709.74,709.74,21620300
04/08/21,711.00,724.90,708.93,710.92,710.92,17002600
05/08/21,716.00,720.95,711.41,714.63,714.63,12919600
06/08/21,711.90,716.33,697.63,699.10,699.10,15623000
09/08/21,710.17,719.03,705.13,713.76,713.76,14715300
10/08/21,713.99,716.59,701.88,709.99,709.99,13432300
11/08/21,712.71,715.18,704.21,707.82,707.82,9800600
12/08/21,706.34,722.80,699.40,722.25,722.25,17459100
13/08/21,723.71,729.90,714.34,717.17,717.17,16731500
16/08/21,705.07,709.50,676.40,686.17,686.17,22677400
17/08/21,672.66,674.58,648.84,665.71,665.71,23721300
18/08/21,669.75,695.77,669.35,688.99,688.99,20349400
19/08/21,678.21,686.55,667.59,673.47,673.47,14313500
20/08/21,682.85,692.13,673.70,680.26,680.26,14841900
23/08/21,685.44,712.13,680.75,706.30,706.30,20264900
24/08/21,710.68,715.22,702.64,708.49,708.49,13083100
25/08/21,707.03,716.97,704.00,711.20,711.20,12645600
26/08/21,708.31,715.40,697.62,701.16,701.16,13214300
27/08/21,705.00,715.00,702.10,711.92,711.92,13833800
30/08/21,714.72,731.00,712.73,730.91,730.91,18604200
31/08/21,733.00,740.39,726.44,735.72,735.72,20855400
01/09/21,734.08,741.99,731.27,734.09,734.09,13204300
02/09/21,734.50,740.97,730.54,732.39,732.39,12777300
03/09/21,732.25,734.00,724.20,733.57,733.57,15246100
07/09/21,740.00,760.20,739.26,752.92,752.92,20039800
08/09/21,761.58,764.45,740.77,753.87,753.87,18793000
09/09/21,753.41,762.10,751.63,754.86,754.86,14077700
10/09/21,759.60,762.61,734.52,736.27,736.27,15184200
13/09/21,740.21,744.78,708.85,743.00,743.00,22952500
14/09/21,742.57,754.47,736.40,744.49,744.49,18524900
15/09/21,745.00,756.86,738.36,755.83,755.83,15357700
16/09/21,752.83,758.91,747.61,756.99,756.99,13923400
